

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 28 15:02:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-25 13:01:09.1840 TDB
Stop  time      : A.D. 2022-May-21 00:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459574.146634074, A.D. 2021-Dec-25 15:31:09.1840, -1.091733402500806E+07,  1.473244130111775E+08,  1.826799122643471E+04, -3.021261729420503E+01, -2.067326059643310E+00,  8.096347575470286E-04,
2459574.157050741, A.D. 2021-Dec-25 15:46:09.1840, -1.094452523043633E+07,  1.473225499432125E+08,  1.826872117745876E+04, -3.021228349148442E+01, -2.072824973863353E+00,  8.124784862103551E-04,
2459574.167467407, A.D. 2021-Dec-25 16:01:09.1840, -1.097171613499384E+07,  1.473206819262238E+08,  1.826945368740708E+04, -3.021194869247314E+01, -2.078323890244154E+00,  8.153212279036204E-04,
2459574.177884074, A.D. 2021-Dec-25 16:16:09.1840, -1.099890673778386E+07,  1.473188089602095E+08,  1.827018875537813E+04, -3.021161289705015E+01, -2.083822808675443E+00,  8.181629683221558E-04,
2459574.188300741, A.D. 2021-Dec-25 16:31:09.1840, -1.102609703790957E+07,  1.473169310451677E+08,  1.827092638044059E+04, -3.021127610509417E+01, -2.089321729046774E+00,  8.210036931435294E-04,
2459574.198717407, A.D. 2021-Dec-25 16:46:09.1840, -1.105328703447403E+07,  1.473150481810966E+08,  1.827166656170785E+04, -3.021093831648366E+01, -2.094820651247535E+00,  8.238433880298768E-04,
2459574.209134074, A.D. 2021-Dec-25 17:01:09.1840, -1.108047672658021E+07,  1.473131603679949E+08,  1.827240929822624E+04, -3.021059953109676E+01, -2.100319575166935E+00,  8.266820386264584E-04,
2459574.219550741, A.D. 2021-Dec-25 17:16:09.1840, -1.110766611333094E+07,  1.473112676058609E+08,  1.827315458907187E+04, -3.021025974881143E+01, -2.105818500694013E+00,  8.295196305639907E-04,
2459574.229967407, A.D. 2021-Dec-25 17:31:09.1840, -1.113485519382896E+07,  1.473093698946932E+08,  1.827390243324637E+04, -3.020991896950530E+01, -2.111317427717631E+00,  8.323561494557596E-04,
2459574.240384074, A.D. 2021-Dec-25 17:46:09.1840, -1.116204396717691E+07,  1.473074672344906E+08,  1.827465282979608E+04, -3.020957719305575E+01, -2.116816356126475E+00,  8.351915808987309E-04,
2459574.250800741, A.D. 2021-Dec-25 18:01:09.1840, -1.118923243247728E+07,  1.473055596252518E+08,  1.827540577775985E+04, -3.020923441933991E+01, -2.122315285809056E+00,  8.380259104749932E-04,
2459574.261217407, A.D. 2021-Dec-25 18:16:09.1840, -1.121642058883250E+07,  1.473036470669757E+08,  1.827616127612442E+04, -3.020889064823460E+01, -2.127814216653706E+00,  8.408591237495378E-04,
2459574.271634074, A.D. 2021-Dec-25 18:31:09.1840, -1.124360843534485E+07,  1.473017295596615E+08,  1.827691932383180E+04, -3.020854587961640E+01, -2.133313148548579E+00,  8.436912062717017E-04,
2459574.282050741, A.D. 2021-Dec-25 18:46:09.1840, -1.127079597111652E+07,  1.472998071033081E+08,  1.827767991993576E+04, -3.020820011336165E+01, -2.138812081381648E+00,  8.465221435743908E-04,
2459574.292467407, A.D. 2021-Dec-25 19:01:09.1840, -1.129798319524957E+07,  1.472978796979147E+08,  1.827844306334108E+04, -3.020785334934636E+01, -2.144311015040707E+00,  8.493519211753009E-04,
2459574.302884074, A.D. 2021-Dec-25 19:16:09.1840, -1.132517010684598E+07,  1.472959473434808E+08,  1.827920875304192E+04, -3.020750558744631E+01, -2.149809949413366E+00,  8.521805245749192E-04,
2459574.313300741, A.D. 2021-Dec-25 19:31:09.1840, -1.135235670500758E+07,  1.472940100400056E+08,  1.827997698793560E+04, -3.020715682753701E+01, -2.155308884387056E+00,  8.550079392583010E-04,
2459574.323717407, A.D. 2021-Dec-25 19:46:09.1840, -1.137954298883610E+07,  1.472920677874888E+08,  1.828074776697904E+04, -3.020680706949369E+01, -2.160807819849022E+00,  8.578341506958465E-04,
2459574.334134074, A.D. 2021-Dec-25 20:01:09.1840, -1.140672895743319E+07,  1.472901205859298E+08,  1.828152108903974E+04, -3.020645631319130E+01, -2.166306755686326E+00,  8.606591443393041E-04,
2459574.344550741, A.D. 2021-Dec-25 20:16:09.1840, -1.143391460990033E+07,  1.472881684353284E+08,  1.828229695306718E+04, -3.020610455850455E+01, -2.171805691785841E+00,  8.634829056264337E-04,
2459574.354967407, A.D. 2021-Dec-25 20:31:09.1840, -1.146109994533894E+07,  1.472862113356845E+08,  1.828307535789907E+04, -3.020575180530783E+01, -2.177304628034260E+00,  8.663054199781195E-04,
2459574.365384074, A.D. 2021-Dec-25 20:46:09.1840, -1.148828496285030E+07,  1.472842492869980E+08,  1.828385630244017E+04, -3.020539805347531E+01, -2.182803564318081E+00,  8.691266727999247E-04,
2459574.375800741, A.D. 2021-Dec-25 21:01:09.1840, -1.151546966153557E+07,  1.472822822892688E+08,  1.828463978554308E+04, -3.020504330288086E+01, -2.188302500523621E+00,  8.719466494808703E-04,
2459574.386217407, A.D. 2021-Dec-25 21:16:09.1840, -1.154265404049581E+07,  1.472803103424971E+08,  1.828542580603063E+04, -3.020468755339809E+01, -2.193801436537000E+00,  8.747653353949891E-04,
2459574.396634074, A.D. 2021-Dec-25 21:31:09.1840, -1.156983809883198E+07,  1.472783334466831E+08,  1.828621436274797E+04, -3.020433080490031E+01, -2.199300372244154E+00,  8.775827158993277E-04,
2459574.407050741, A.D. 2021-Dec-25 21:46:09.1840, -1.159702183564489E+07,  1.472763516018272E+08,  1.828700545451045E+04, -3.020397305726059E+01, -2.204799307530824E+00,  8.803987763352783E-04,
2459574.417467407, A.D. 2021-Dec-25 22:01:09.1840, -1.162420525003527E+07,  1.472743648079297E+08,  1.828779908014089E+04, -3.020361431035172E+01, -2.210298242282559E+00,  8.832135020295784E-04,
2459574.427884074, A.D. 2021-Dec-25 22:16:09.1840, -1.165138834110371E+07,  1.472723730649912E+08,  1.828859523842484E+04, -3.020325456404619E+01, -2.215797176384715E+00,  8.860268782917569E-04,
