

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 28 15:00:56 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: JWST_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-25 13:01:09.1840 TDB
Stop  time      : A.D. 2022-May-21 00:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459574.407050741, A.D. 2021-Dec-25 21:46:09.1840, -1.156629240088915E+07,  1.473772270787887E+08, -2.775540955911577E+04, -3.017166421156324E+01,  7.050304547479330E-02, -9.850549888607489E-01,
2459574.417467407, A.D. 2021-Dec-25 22:01:09.1840, -1.159344993364432E+07,  1.473772774940065E+08, -2.863713633450866E+04, -3.017834428928360E+01,  4.166876056828711E-02, -9.744025696165131E-01,
2459574.427884074, A.D. 2021-Dec-25 22:16:09.1840, -1.162061330934359E+07,  1.473773023233452E+08, -2.950944705144316E+04, -3.018465337780223E+01,  1.363725086113199E-02, -9.641264483339069E-01,
2459574.438300741, A.D. 2021-Dec-25 22:31:09.1840, -1.164778220674074E+07,  1.473773022675697E+08, -3.037266998006403E+04, -3.019061909830937E+01, -1.363908562414717E-02, -9.542038556827890E-01,
2459574.448717407, A.D. 2021-Dec-25 22:46:09.1840, -1.167495632821470E+07,  1.473772779864046E+08, -3.122711377479881E+04, -3.019626638734321E+01, -4.020392295966146E-02, -9.446139334110100E-01,
2459574.459134074, A.D. 2021-Dec-25 23:01:09.1840, -1.170213539750068E+07,  1.473772301018785E+08, -3.207306910013407E+04, -3.020161781596565E+01, -6.609741762156246E-02, -9.353375316319156E-01,
2459574.469550741, A.D. 2021-Dec-25 23:16:09.1840, -1.172931915768785E+07,  1.473771592013268E+08, -3.291081008768827E+04, -3.020669386437693E+01, -9.135656745050796E-02, -9.263570318477652E-01,
2459574.479967407, A.D. 2021-Dec-25 23:31:09.1840, -1.175650736944686E+07,  1.473770658400875E+08, -3.374059564217925E+04, -3.021151315905411E+01, -1.160155265980558E-01, -9.176561919759553E-01,
2459574.490384074, A.D. 2021-Dec-25 23:46:09.1840, -1.178369980945615E+07,  1.473769505439354E+08, -3.456267061857879E+04, -3.021609267827467E+01, -1.401058827982622E-01, -9.092200101713924E-01,
2459574.500800741, A.D. 2021-Dec-26 00:01:09.1840, -1.181089626900156E+07,  1.473768138112775E+08, -3.537726688248664E+04, -3.022044793083076E+01, -1.636569020939876E-01, -9.010346049294914E-01,
2459574.511217407, A.D. 2021-Dec-26 00:16:09.1840, -1.183809655272265E+07,  1.473766561151445E+08, -3.618460427068919E+04, -3.022459311200097E+01, -1.866957450800891E-01, -8.930871103003535E-01,
2459574.521634074, A.D. 2021-Dec-26 00:31:09.1840, -1.186530047749791E+07,  1.473764779049963E+08, -3.698489146095514E+04, -3.022854124059290E+01, -2.092476600893468E-01, -8.853655795006944E-01,
2459574.532050741, A.D. 2021-Dec-26 00:46:09.1840, -1.189250787143786E+07,  1.473762796083656E+08, -3.777832676119357E+04, -3.023230427811010E+01, -2.313361544476960E-01, -8.778589016175768E-01,
2459574.542467407, A.D. 2021-Dec-26 01:01:09.1840, -1.191971858476978E+07,  1.473760625198282E+08, -3.856547155030817E+04, -3.023593266461325E+01, -2.500257405243219E-01, -8.717995378694428E-01,
2459574.552884074, A.D. 2021-Dec-26 01:16:09.1840, -1.194693250592164E+07,  1.473758298837790E+08, -3.934770827023685E+04, -3.023942288825484E+01, -2.668892020983400E-01, -8.665305295154471E-01,
2459574.563300741, A.D. 2021-Dec-26 01:31:09.1840, -1.197414950318697E+07,  1.473755822124280E+08, -4.012527114436030E+04, -3.024277023815177E+01, -2.834416529405592E-01, -8.614105420658852E-01,
2459574.573717407, A.D. 2021-Dec-26 01:46:09.1840, -1.200136945159045E+07,  1.473753197757468E+08, -4.089828767412901E+04, -3.024598149014174E+01, -2.997032656683832E-01, -8.564257585574007E-01,
2459574.584134074, A.D. 2021-Dec-26 02:01:09.1840, -1.202859222437177E+07,  1.473750426222545E+08, -4.166678799833357E+04, -3.024902608542013E+01, -3.170554334363989E-01, -8.509931136460169E-01,
2459574.594550741, A.D. 2021-Dec-26 02:16:09.1840, -1.205581764117874E+07,  1.473747483761153E+08, -4.242978624924272E+04, -3.025187884384055E+01, -3.367670850181649E-01, -8.445852035245384E-01,
2459574.604967407, A.D. 2021-Dec-26 02:31:09.1840, -1.208304556896577E+07,  1.473744365433098E+08, -4.318708829164505E+04, -3.025460716963987E+01, -3.561393420352759E-01, -8.383337332863333E-01,
2459574.615384074, A.D. 2021-Dec-26 02:46:09.1840, -1.211027589871856E+07,  1.473741074228696E+08, -4.393883190821111E+04, -3.025721759552598E+01, -3.751863347629837E-01, -8.322320754617343E-01,
2459574.625800741, A.D. 2021-Dec-26 03:01:09.1840, -1.213750852709636E+07,  1.473737613014866E+08, -4.468514909650385E+04, -3.025971620335784E+01, -3.939213673495082E-01, -8.262739955582044E-01,
2459574.636217407, A.D. 2021-Dec-26 03:16:09.1840, -1.216474335604368E+07,  1.473733984542264E+08, -4.542616640816629E+04, -3.026210866238602E+01, -4.123569794335996E-01, -8.204536223809547E-01,
2459574.646634074, A.D. 2021-Dec-26 03:31:09.1840, -1.219198029243473E+07,  1.473730191451928E+08, -4.616200526452810E+04, -3.026440026366209E+01, -4.305050022490174E-01, -8.147654210414205E-01,
2459574.657050741, A.D. 2021-Dec-26 03:46:09.1840, -1.221921924774723E+07,  1.473726236281398E+08, -4.689278224708140E+04, -3.026659595105679E+01, -4.483766097124047E-01, -8.092041684046993E-01,
2459574.667467407, A.D. 2021-Dec-26 04:01:09.1840, -1.224646013776275E+07,  1.473722121470442E+08, -4.761860936877877E+04, -3.026870034927413E+01, -4.659823650976050E-01, -8.037649306839932E-01,
2459574.677884074, A.D. 2021-Dec-26 04:16:09.1840, -1.227370288229107E+07,  1.473717849366333E+08, -4.833959432417899E+04, -3.027071778919100E+01, -4.833322636607301E-01, -7.984430429984132E-01,
2459574.688300741, A.D. 2021-Dec-26 04:31:09.1840, -1.230094740491624E+07,  1.473713422228808E+08, -4.905584072382003E+04, -3.027265233081878E+01, -5.004357716956922E-01, -7.932340906627359E-01,
2459574.698717407, A.D. 2021-Dec-26 04:46:09.1840, -1.232819363276228E+07,  1.473708842234639E+08, -4.976744831071794E+04, -3.027450778414264E+01, -5.173018623138491E-01, -7.881338920627243E-01,
2459574.709134074, A.D. 2021-Dec-26 05:01:09.1840, -1.235544149627693E+07,  1.473704111481946E+08, -5.047451316376030E+04, -3.027628772806741E+01, -5.339390483204559E-01, -7.831384829359644E-01,
2459574.719550741, A.D. 2021-Dec-26 05:16:09.1840, -1.238269092903141E+07,  1.473699231994184E+08, -5.117712788598984E+04, -3.027799552765955E+01, -5.503554124101784E-01, -7.782441019470612E-01,
2459574.729967407, A.D. 2021-Dec-26 05:31:09.1840, -1.240994186753527E+07,  1.473694205723899E+08, -5.187538178187609E+04, -3.027963434987386E+01, -5.665586349930275E-01, -7.734471774081477E-01,
2459574.740384074, A.D. 2021-Dec-26 05:46:09.1840, -1.243719425106456E+07,  1.473689034556222E+08, -5.256936102178693E+04, -3.028120717790494E+01, -5.825560198040534E-01, -7.687443150665642E-01,
2459574.750800741, A.D. 2021-Dec-26 06:01:09.1840, -1.246444802150252E+07,  1.473683720312160E+08, -5.325914879715443E+04, -3.028271682431390E+01, -5.983545175721925E-01, -7.641322868291346E-01,
2459574.761217407, A.D. 2021-Dec-26 06:16:09.1840, -1.249170312319141E+07,  1.473678264751666E+08, -5.394482546465844E+04, -3.028416594304018E+01, -6.139607478542403E-01, -7.596080203684049E-01,
2459574.771634074, A.D. 2021-Dec-26 06:31:09.1840, -1.251895950279487E+07,  1.473672669576536E+08, -5.462646868264675E+04, -3.028555704041667E+01, -6.293810192630629E-01, -7.551685895022336E-01,
2459574.782050741, A.D. 2021-Dec-26 06:46:09.1840, -1.254621710916960E+07,  1.473666936433109E+08, -5.530415353801847E+04, -3.028689248527471E+01, -6.446213481710443E-01, -7.508112053049303E-01,
2459574.792467407, A.D. 2021-Dec-26 07:01:09.1840, -1.257347589324591E+07,  1.473661066914836E+08, -5.597795266658068E+04, -3.028817451823554E+01, -6.596874760620333E-01, -7.465332078676149E-01,
2459574.802884074, A.D. 2021-Dec-26 07:16:09.1840, -1.260073580791617E+07,  1.473655062564660E+08, -5.664793636508286E+04, -3.028940526025174E+01, -6.745848856324242E-01, -7.423320586585875E-01,
2459574.813300741, A.D. 2021-Dec-26 07:31:09.1840, -1.262799680793078E+07,  1.473648924877299E+08, -5.731417269788682E+04, -3.029058672047979E+01, -6.893188157469594E-01, -7.382053334322571E-01,
