

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 28 15:03:51 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-25 13:01:09.1840 TDB
Stop  time      : A.D. 2022-May-21 00:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459574.417467407, A.D. 2021-Dec-25 22:01:09.1840, -1.200351729945229E+07,  1.473435464826547E+08,  5.156631759503484E+04, -3.033098335179666E+01, -3.213627568371757E+00, -3.345130272841446E-02,
2459574.427884074, A.D. 2021-Dec-25 22:16:09.1840, -1.203081394691958E+07,  1.473406515527698E+08,  5.153611831835657E+04, -3.032823279652962E+01, -3.219549048669450E+00, -3.365818262565834E-02,
2459574.438300741, A.D. 2021-Dec-25 22:31:09.1840, -1.205810811768556E+07,  1.473377512959969E+08,  5.150573289962113E+04, -3.032547957297270E+01, -3.225465096297877E+00, -3.386495153230618E-02,
2459574.448717407, A.D. 2021-Dec-25 22:46:09.1840, -1.208539980935384E+07,  1.473348457172283E+08,  5.147516143925488E+04, -3.032272369243098E+01, -3.231375704551636E+00, -3.407160825188127E-02,
2459574.459134074, A.D. 2021-Dec-25 23:01:09.1840, -1.211268901953823E+07,  1.473319348213625E+08,  5.144440403877199E+04, -3.031996516623517E+01, -3.237280866741442E+00, -3.427815158662528E-02,
2459574.469550741, A.D. 2021-Dec-25 23:16:09.1840, -1.213997574586277E+07,  1.473290186133040E+08,  5.141346080076694E+04, -3.031720400574160E+01, -3.243180576194211E+00, -3.448458033749668E-02,
2459574.479967407, A.D. 2021-Dec-25 23:31:09.1840, -1.216725998596170E+07,  1.473260970979632E+08,  5.138233182889223E+04, -3.031444022233230E+01, -3.249074826253149E+00, -3.469089330417674E-02,
2459574.490384074, A.D. 2021-Dec-25 23:46:09.1840, -1.219454173747952E+07,  1.473231702802565E+08,  5.135101722792536E+04, -3.031167382741499E+01, -3.254963610277839E+00, -3.489708928506796E-02,
2459574.500800741, A.D. 2021-Dec-26 00:01:09.1840, -1.222182099807102E+07,  1.473202381651065E+08,  5.131951710364223E+04, -3.030890483242310E+01, -3.260846921644328E+00, -3.510316707729699E-02,
2459574.511217407, A.D. 2021-Dec-26 00:16:09.1840, -1.224909776540129E+07,  1.473173007574413E+08,  5.128783156299591E+04, -3.030613324881585E+01, -3.266724753745216E+00, -3.530912547671616E-02,
2459574.521634074, A.D. 2021-Dec-26 00:31:09.1840, -1.227637203714575E+07,  1.473143580621955E+08,  5.125596071395278E+04, -3.030335908807823E+01, -3.272597099989748E+00, -3.551496327790460E-02,
2459574.532050741, A.D. 2021-Dec-26 00:46:09.1840, -1.230364381099015E+07,  1.473114100843091E+08,  5.122390466564149E+04, -3.030058236172106E+01, -3.278463953803893E+00, -3.572067927417266E-02,
2459574.542467407, A.D. 2021-Dec-26 01:01:09.1840, -1.233091308463062E+07,  1.473084568287283E+08,  5.119166352818161E+04, -3.029780308128098E+01, -3.284325308630446E+00, -3.592627225755995E-02,
2459574.552884074, A.D. 2021-Dec-26 01:16:09.1840, -1.235817985577370E+07,  1.473054983004052E+08,  5.115923741283268E+04, -3.029502125832053E+01, -3.290181157929110E+00, -3.613174101883976E-02,
2459574.563300741, A.D. 2021-Dec-26 01:31:09.1840, -1.238544412213632E+07,  1.473025345042977E+08,  5.112662643197179E+04, -3.029223690442814E+01, -3.296031495176590E+00, -3.633708434752170E-02,
2459574.573717407, A.D. 2021-Dec-26 01:46:09.1840, -1.241270588144587E+07,  1.472995654453695E+08,  5.109383069900423E+04, -3.028945003121817E+01, -3.301876313866684E+00, -3.654230103185041E-02,
2459574.584134074, A.D. 2021-Dec-26 02:01:09.1840, -1.243996513144021E+07,  1.472965911285902E+08,  5.106085032847524E+04, -3.028666065033091E+01, -3.307715607510374E+00, -3.674738985881043E-02,
2459574.594550741, A.D. 2021-Dec-26 02:16:09.1840, -1.246722186986766E+07,  1.472936115589354E+08,  5.102768543598056E+04, -3.028386877343267E+01, -3.313549369635918E+00, -3.695234961412819E-02,
2459574.604967407, A.D. 2021-Dec-26 02:31:09.1840, -1.249447609448709E+07,  1.472906267413863E+08,  5.099433613824844E+04, -3.028107441221575E+01, -3.319377593788940E+00, -3.715717908227179E-02,
2459574.615384074, A.D. 2021-Dec-26 02:46:09.1840, -1.252172780306787E+07,  1.472876366809299E+08,  5.096080255308747E+04, -3.027827757839850E+01, -3.325200273532531E+00, -3.736187704645544E-02,
2459574.625800741, A.D. 2021-Dec-26 03:01:09.1840, -1.254897699338995E+07,  1.472846413825592E+08,  5.092708479937911E+04, -3.027547828372531E+01, -3.331017402447333E+00, -3.756644228864037E-02,
2459574.636217407, A.D. 2021-Dec-26 03:16:09.1840, -1.257622366324385E+07,  1.472816408512727E+08,  5.089318299715221E+04, -3.027267653996666E+01, -3.336828974131639E+00, -3.777087358953790E-02,
2459574.646634074, A.D. 2021-Dec-26 03:31:09.1840, -1.260346781043071E+07,  1.472786350920748E+08,  5.085909726747125E+04, -3.026987235891921E+01, -3.342634982201487E+00, -3.797516972861037E-02,
2459574.657050741, A.D. 2021-Dec-26 03:46:09.1840, -1.263070943276227E+07,  1.472756241099757E+08,  5.082482773254812E+04, -3.026706575240566E+01, -3.348435420290751E+00, -3.817932948407465E-02,
2459574.667467407, A.D. 2021-Dec-26 04:01:09.1840, -1.265794852806095E+07,  1.472726079099912E+08,  5.079037451569736E+04, -3.026425673227497E+01, -3.354230282051242E+00, -3.838335163290418E-02,
2459574.677884074, A.D. 2021-Dec-26 04:16:09.1840, -1.268518509415984E+07,  1.472695864971428E+08,  5.075573774126172E+04, -3.026144531040223E+01, -3.360019561152801E+00, -3.858723495083027E-02,
2459574.688300741, A.D. 2021-Dec-26 04:31:09.1840, -1.271241912890272E+07,  1.472665598764578E+08,  5.072091753480583E+04, -3.025863149868879E+01, -3.365803251283393E+00, -3.879097821234567E-02,
2459574.698717407, A.D. 2021-Dec-26 04:46:09.1840, -1.273965063014410E+07,  1.472635280529691E+08,  5.068591402287036E+04, -3.025581530906221E+01, -3.371581346149210E+00, -3.899458019070789E-02,
2459574.709134074, A.D. 2021-Dec-26 05:01:09.1840, -1.276687959574924E+07,  1.472604910317152E+08,  5.065072733320296E+04, -3.025299675347637E+01, -3.377353839474764E+00, -3.919803965793878E-02,
2459574.719550741, A.D. 2021-Dec-26 05:16:09.1840, -1.279410602359417E+07,  1.472574488177404E+08,  5.061535759460181E+04, -3.025017584391140E+01, -3.383120725002987E+00, -3.940135538482803E-02,
2459574.729967407, A.D. 2021-Dec-26 05:31:09.1840, -1.282132991156569E+07,  1.472544014160944E+08,  5.057980493700504E+04, -3.024735259237375E+01, -3.388881996495326E+00, -3.960452614093901E-02,
2459574.740384074, A.D. 2021-Dec-26 05:46:09.1840, -1.284855125756146E+07,  1.472513488318328E+08,  5.054406949141622E+04, -3.024452701089625E+01, -3.394637647731848E+00, -3.980755069460584E-02,
2459574.750800741, A.D. 2021-Dec-26 06:01:09.1840, -1.287577005948994E+07,  1.472482910700164E+08,  5.050815138997138E+04, -3.024169911153806E+01, -3.400387672511333E+00, -4.001042781294095E-02,
2459574.761217407, A.D. 2021-Dec-26 06:16:09.1840, -1.290298631527049E+07,  1.472452281357120E+08,  5.047205076595396E+04, -3.023886890638476E+01, -3.406132064651380E+00, -4.021315626183397E-02,
2459574.771634074, A.D. 2021-Dec-26 06:31:09.1840, -1.293020002283333E+07,  1.472421600339917E+08,  5.043576775369048E+04, -3.023603640754834E+01, -3.411870817988501E+00, -4.041573480595750E-02,
2459574.782050741, A.D. 2021-Dec-26 06:46:09.1840, -1.295741118011961E+07,  1.472390867699332E+08,  5.039930248863250E+04, -3.023320162716719E+01, -3.417603926378228E+00, -4.061816220876735E-02,
2459574.792467407, A.D. 2021-Dec-26 07:01:09.1840, -1.298461978508141E+07,  1.472360083486195E+08,  5.036265510742366E+04, -3.023036457740622E+01, -3.423331383695211E+00, -4.082043723250628E-02,
2459574.802884074, A.D. 2021-Dec-26 07:16:09.1840, -1.301182583568178E+07,  1.472329247751396E+08,  5.032582574770600E+04, -3.022752527045679E+01, -3.429053183833319E+00, -4.102255863820825E-02,
2459574.813300741, A.D. 2021-Dec-26 07:31:09.1840, -1.303902932989475E+07,  1.472298360545876E+08,  5.028881454832852E+04, -3.022468371853678E+01, -3.434769320705746E+00, -4.122452518569841E-02,
2459574.823717407, A.D. 2021-Dec-26 07:46:09.1840, -1.306623026570533E+07,  1.472267421920632E+08,  5.025162164919823E+04, -3.022183993389061E+01, -3.440479788245111E+00, -4.142633563359910E-02,
2459574.834134074, A.D. 2021-Dec-26 08:01:09.1840, -1.309342864110961E+07,  1.472236431926714E+08,  5.021424719139189E+04, -3.021899392878920E+01, -3.446184580403562E+00, -4.162798873933071E-02,
2459574.844550741, A.D. 2021-Dec-26 08:16:09.1840, -1.312062445411471E+07,  1.472205390615229E+08,  5.017669131704420E+04, -3.021614571553012E+01, -3.451883691152883E+00, -4.182948325911373E-02,
2459574.854967407, A.D. 2021-Dec-26 08:31:09.1840, -1.314781770273882E+07,  1.472174298037335E+08,  5.013895416947454E+04, -3.021329530643746E+01, -3.457577114484593E+00, -4.203081794797603E-02,
2459574.865384074, A.D. 2021-Dec-26 08:46:09.1840, -1.317500838501125E+07,  1.472143154244248E+08,  5.010103589306772E+04, -3.021044271386199E+01, -3.463264844410054E+00, -4.223199155975199E-02,
2459574.875800741, A.D. 2021-Dec-26 09:01:09.1840, -1.320219649897244E+07,  1.472111959287234E+08,  5.006293663335592E+04, -3.020758795018108E+01, -3.468946874960577E+00, -4.243300284708607E-02,
2459574.886217407, A.D. 2021-Dec-26 09:16:09.1840, -1.322938204267396E+07,  1.472080713217615E+08,  5.002465653701127E+04, -3.020473102779878E+01, -3.474623200187526E+00, -4.263385056143765E-02,
2459574.896634074, A.D. 2021-Dec-26 09:31:09.1840, -1.325656501417859E+07,  1.472049416086765E+08,  4.998619575178623E+04, -3.020187195914580E+01, -3.480293814162429E+00, -4.283453345308508E-02,
2459574.907050741, A.D. 2021-Dec-26 09:46:09.1840, -1.328374541156028E+07,  1.472018067946112E+08,  4.994755442662537E+04, -3.019901075667955E+01, -3.485958710977076E+00, -4.303505027112342E-02,
2459574.917467407, A.D. 2021-Dec-26 10:01:09.1840, -1.331092323290422E+07,  1.471986668847136E+08,  4.990873271151632E+04, -3.019614743288416E+01, -3.491617884743639E+00, -4.323539976347468E-02,
2459574.927884074, A.D. 2021-Dec-26 10:16:09.1840, -1.333809847630683E+07,  1.471955218841373E+08,  4.986973075761646E+04, -3.019328200027054E+01, -3.497271329594766E+00, -4.343558067688713E-02,
2459574.938300741, A.D. 2021-Dec-26 10:31:09.1840, -1.336527113987582E+07,  1.471923717980408E+08,  4.983054871723801E+04, -3.019041447137628E+01, -3.502919039683700E+00, -4.363559175694087E-02,
2459574.948717407, A.D. 2021-Dec-26 10:46:09.1840, -1.339244122173019E+07,  1.471892166315880E+08,  4.979118674377352E+04, -3.018754485876581E+01, -3.508561009184385E+00, -4.383543174804783E-02,
2459574.959134074, A.D. 2021-Dec-26 11:01:09.1840, -1.341960872000026E+07,  1.471860563899482E+08,  4.975164499180019E+04, -3.018467317503032E+01, -3.514197232291575E+00, -4.403509939345995E-02,
2459574.969550741, A.D. 2021-Dec-26 11:16:09.1840, -1.344677363282769E+07,  1.471828910782955E+08,  4.971192361694574E+04, -3.018179943278783E+01, -3.519827703220941E+00, -4.423459343526925E-02,
2459574.979967407, A.D. 2021-Dec-26 11:31:09.1840, -1.347393595836552E+07,  1.471797207018097E+08,  4.967202277607471E+04, -3.017892364468318E+01, -3.525452416209189E+00, -4.443391261441199E-02,
2459574.990384074, A.D. 2021-Dec-26 11:46:09.1840, -1.350109569477816E+07,  1.471765452656755E+08,  4.963194262709469E+04, -3.017604582338808E+01, -3.531071365514164E+00, -4.463305567067422E-02,
2459575.000800741, A.D. 2021-Dec-26 12:01:09.1840, -1.352825284024147E+07,  1.471733647750826E+08,  4.959168332908303E+04, -3.017316598160108E+01, -3.536684545414964E+00, -4.483202134269337E-02,
2459575.011217407, A.D. 2021-Dec-26 12:16:09.1840, -1.355540739294272E+07,  1.471701792352263E+08,  4.955124504225701E+04, -3.017028413204763E+01, -3.542291950212052E+00, -4.503080836796247E-02,
2459575.021634074, A.D. 2021-Dec-26 12:31:09.1840, -1.358255935108065E+07,  1.471669886513065E+08,  4.951062792799622E+04, -3.016740028748006E+01, -3.547893574227372E+00, -4.522941548283477E-02,
2459575.032050741, A.D. 2021-Dec-26 12:46:09.1840, -1.360970871286551E+07,  1.471637930285286E+08,  4.946983214873821E+04, -3.016451446067765E+01, -3.553489411804455E+00, -4.542784142252732E-02,
2459575.042467407, A.D. 2021-Dec-26 13:01:09.1840, -1.363685547651904E+07,  1.471605923721029E+08,  4.942885786814988E+04, -3.016162666444657E+01, -3.559079457308539E+00, -4.562608492112386E-02,
2459575.052884074, A.D. 2021-Dec-26 13:16:09.1840, -1.366399964027453E+07,  1.471573866872447E+08,  4.938770525100827E+04, -3.015873691161999E+01, -3.564663705126679E+00, -4.582414471157992E-02,
2459575.063300741, A.D. 2021-Dec-26 13:31:09.1840, -1.369114120237684E+07,  1.471541759791746E+08,  4.934637446317077E+04, -3.015584521505798E+01, -3.570242149667863E+00, -4.602201952572660E-02,
2459575.073717407, A.D. 2021-Dec-26 13:46:09.1840, -1.371828016108238E+07,  1.471509602531180E+08,  4.930486567173153E+04, -3.015295158764765E+01, -3.575814785363131E+00, -4.621970809427367E-02,
2459575.084134074, A.D. 2021-Dec-26 14:01:09.1840, -1.374541651465922E+07,  1.471477395143053E+08,  4.926317904485017E+04, -3.015005604230305E+01, -3.581381606665682E+00, -4.641720914681535E-02,
2459575.094550741, A.D. 2021-Dec-26 14:16:09.1840, -1.377255026138703E+07,  1.471445137679720E+08,  4.922131475190818E+04, -3.014715859196527E+01, -3.586942608050998E+00, -4.661452141183342E-02,
2459575.104967407, A.D. 2021-Dec-26 14:31:09.1840, -1.379968139955715E+07,  1.471412830193584E+08,  4.917927296333015E+04, -3.014425924960241E+01, -3.592497784016957E+00, -4.681164361670120E-02,
2459575.115384074, A.D. 2021-Dec-26 14:46:09.1840, -1.382680992747261E+07,  1.471380472737100E+08,  4.913705385078490E+04, -3.014135802820961E+01, -3.598047129083952E+00, -4.700857448768825E-02,
2459575.125800741, A.D. 2021-Dec-26 15:01:09.1840, -1.385393584344813E+07,  1.471348065362770E+08,  4.909465758703649E+04, -3.013845494080902E+01, -3.603590637795008E+00, -4.720531274996342E-02,
2459575.136217407, A.D. 2021-Dec-26 15:16:09.1840, -1.388105914581018E+07,  1.471315608123145E+08,  4.905208434601128E+04, -3.013555000044992E+01, -3.609128304715898E+00, -4.740185712760359E-02,
2459575.146634074, A.D. 2021-Dec-26 15:31:09.1840, -1.390817983289697E+07,  1.471283101070826E+08,  4.900933430276811E+04, -3.013264322020861E+01, -3.614660124435265E+00, -4.759820634359180E-02,
2459575.157050741, A.D. 2021-Dec-26 15:46:09.1840, -1.393529790305852E+07,  1.471250544258463E+08,  4.896640763352066E+04, -3.012973461318848E+01, -3.620186091564740E+00, -4.779435911982555E-02,
2459575.167467407, A.D. 2021-Dec-26 16:01:09.1840, -1.396241335465662E+07,  1.471217937738752E+08,  4.892330451565981E+04, -3.012682419252001E+01, -3.625706200739061E+00, -4.799031417712141E-02,
2459575.177884074, A.D. 2021-Dec-26 16:16:09.1840, -1.398952618606490E+07,  1.471185281564440E+08,  4.888002512768656E+04, -3.012391197136080E+01, -3.631220446616197E+00, -4.818607023521770E-02,
2459575.188300741, A.D. 2021-Dec-26 16:31:09.1840, -1.401663639566887E+07,  1.471152575788319E+08,  4.883656964931637E+04, -3.012099796289559E+01, -3.636728823877461E+00, -4.838162601278184E-02,
2459575.198717407, A.D. 2021-Dec-26 16:46:09.1840, -1.404374398186589E+07,  1.471119820463232E+08,  4.879293826133758E+04, -3.011808218033620E+01, -3.642231327227640E+00, -4.857698022741119E-02,
2459575.209134074, A.D. 2021-Dec-26 17:01:09.1840, -1.407084894306522E+07,  1.471087015642066E+08,  4.874913114576787E+04, -3.011516463692161E+01, -3.647727951395110E+00, -4.877213159564198E-02,
2459575.219550741, A.D. 2021-Dec-26 17:16:09.1840, -1.409795127768807E+07,  1.471054161377760E+08,  4.870514848571271E+04, -3.011224534591794E+01, -3.653218691131965E+00, -4.896707883295059E-02,
2459575.229967407, A.D. 2021-Dec-26 17:31:09.1840, -1.412505098416759E+07,  1.471021257723295E+08,  4.866099046549201E+04, -3.010932432061849E+01, -3.658703541214132E+00, -4.916182065376029E-02,
2459575.240384074, A.D. 2021-Dec-26 17:46:09.1840, -1.415214806094889E+07,  1.470988304731702E+08,  4.861665727055818E+04, -3.010640157434369E+01, -3.664182496441502E+00, -4.935635577144670E-02,
2459575.250800741, A.D. 2021-Dec-26 18:01:09.1840, -1.417924250648911E+07,  1.470955302456059E+08,  4.857214908750355E+04, -3.010347712044116E+01, -3.669655551638047E+00, -4.955068289834164E-02,
2459575.261217407, A.D. 2021-Dec-26 18:16:09.1840, -1.420633431925741E+07,  1.470922250949489E+08,  4.852746610412002E+04, -3.010055097228570E+01, -3.675122701651951E+00, -4.974480074573728E-02,
2459575.271634074, A.D. 2021-Dec-26 18:31:09.1840, -1.423342349773498E+07,  1.470889150265160E+08,  4.848260850933194E+04, -3.009762314327930E+01, -3.680583941355730E+00, -4.993870802389377E-02,
2459575.282050741, A.D. 2021-Dec-26 18:46:09.1840, -1.426051004041509E+07,  1.470856000456291E+08,  4.843757649321854E+04, -3.009469364685113E+01, -3.686039265646358E+00, -5.013240344204140E-02,
